id,repoName,resourcePath,labelName
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,pr_action: Merge ready
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,status: Pending
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,status: Needs repro
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,status: Declined
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,status: Blocked
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,status: Approved
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,semver: Patch
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,semver: Minor
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,semver: Major
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,good first issue
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,flag: Has reproduction case
MDEwOlJlcG9zaXRvcnk3MTk2NjE3Nw==,webpack-bundle-analyzer,/webpack-contrib/webpack-bundle-analyzer,dependencies
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,bug
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,duplicate
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,enhancement
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,help wanted
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,good first issue
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,invalid
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,question
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,wontfix
MDEwOlJlcG9zaXRvcnkxODMyNjc4NDM=,advanced-react-hooks,/kentcdodds/advanced-react-hooks,dependencies
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,bug
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,duplicate
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,enhancement
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,invalid
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,question
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,wontfix
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,good-first-PR (easy)
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,css
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,coffeescript
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,dependencies
MDEwOlJlcG9zaXRvcnkxNTQ2NDc3Mg==,card,/jessepollak/card,workaround
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,bug
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,duplicate
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,enhancement
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,more-information-needed
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,question
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,wontfix
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,volunteer-needed
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,not-a-bug
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,HikariCP,/brettwooldridge/HikariCP,awaiting-response
MDEwOlJlcG9zaXRvcnkyNDI2ODEyNw==,nvm-windows,/coreybutler/nvm-windows,bug
MDEwOlJlcG9zaXRvcnkyNDI2ODEyNw==,nvm-windows,/coreybutler/nvm-windows,duplicate
MDEwOlJlcG9zaXRvcnkyNDI2ODEyNw==,nvm-windows,/coreybutler/nvm-windows,enhancement request
MDEwOlJlcG9zaXRvcnkyNDI2ODEyNw==,nvm-windows,/coreybutler/nvm-windows,help wanted
